threshold,accuracy,precision_1,recall_1,f1_1
0.1,0.8232558139534883,0.6807511737089202,0.9477124183006536,0.7923497267759563
0.15,0.8883720930232558,0.7837837837837838,0.9477124183006536,0.8579881656804734
0.2,0.9255813953488372,0.8711656441717791,0.9281045751633987,0.8987341772151899
0.25,0.9372093023255814,0.8987341772151899,0.9281045751633987,0.9131832797427653
0.3,0.9441860465116279,0.9271523178807947,0.9150326797385621,0.9210526315789473
0.35,0.9488372093023256,0.9455782312925171,0.9084967320261438,0.9266666666666666
0.4,0.9511627906976744,0.952054794520548,0.9084967320261438,0.9297658862876255
0.45,0.9488372093023256,0.958041958041958,0.8954248366013072,0.9256756756756757
0.5,0.9511627906976744,0.9647887323943662,0.8954248366013072,0.9288135593220339
0.55,0.9395348837209302,0.9635036496350365,0.8627450980392157,0.9103448275862069
0.6,0.9255813953488372,0.9618320610687023,0.8235294117647058,0.8873239436619719
0.65,0.9255813953488372,0.9618320610687023,0.8235294117647058,0.8873239436619719
0.7,0.9162790697674419,0.9606299212598425,0.7973856209150327,0.8714285714285714
0.75,0.8906976744186047,0.9568965517241379,0.7254901960784313,0.8252788104089219
0.8,0.8790697674418605,0.954954954954955,0.6928104575163399,0.803030303030303
0.85,0.8651162790697674,0.9523809523809523,0.6535947712418301,0.7751937984496124
